Desc	Data	NLSE	TCE	RSQ	WFF	
"Champion05"	"Training"	0.0002175189705027	0.0	0.9997824810295	"y = -9.232469013014E-06+(1.313512918477E-06*max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)))+(0.000629008235517*max(ninteger(A) , abs(A)))+(3.999834450006*avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)));"	
"Champion05"	"Testing"	0.0003977575685221	0.0	0.9996022424315	"y = -9.232469013014E-06+(1.313512918477E-06*max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)))+(0.000629008235517*max(ninteger(A) , abs(A)))+(3.999834450006*avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)));"	
"Champion06"	"Training"	0.0002175336246455	0.0	0.9997824663754	"y = 0.0003004886245546+(3.999933320115*min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))+(0.0001416084353771*max(max(cos(x0) , cos(A)) , max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A))))+(-2.15817927969E-05*max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(max(max(B , sqrt(B)) , abs(A)))) , abs(A)));"	
"Champion06"	"Testing"	0.0003991835660673	0.0	0.9996008164339	"y = 0.0003004886245546+(3.999933320115*min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))+(0.0001416084353771*max(max(cos(x0) , cos(A)) , max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A))))+(-2.15817927969E-05*max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(max(max(B , sqrt(B)) , abs(A)))) , abs(A)));"	
"Champion07"	"Training"	0.0002175728302459	0.0	0.9997824271698	"y = 0.0004009972345604+(3.223455523555E-05*(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(A)))) , abs(abs(fraction(B)))) % (abs(fraction(x0)) - A)))+(3.999846565323*avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))))+(#void*#void);"	
"Champion07"	"Testing"	0.0003984772607171	0.0	0.9996015227393	"y = 0.0004009972345604+(3.223455523555E-05*(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(A)))) , abs(abs(fraction(B)))) % (abs(fraction(x0)) - A)))+(3.999846565323*avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))))+(#void*#void);"	
"Champion08"	"Training"	0.0002175837497566	0.0	0.9997824162502	"y = 3.66033626615E-05+(-1.59162190462E-05*min(max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))))+(3.999840865039*min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))+(0.0003796307407027*max(cos(B) , cos(product(((-A)*(-A)) , abs(A)))));"	
"Champion08"	"Testing"	0.0003999575691757	0.0	0.9996000424308	"y = 3.66033626615E-05+(-1.59162190462E-05*min(max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))))+(3.999840865039*min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))+(0.0003796307407027*max(cos(B) , cos(product(((-A)*(-A)) , abs(A)))));"	
"Champion09"	"Training"	0.0002175901847549	0.0	0.9997824098152	"y = 1.166552579009E-06+(-3.386215335725E-05*(max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)) % (abs(fraction(x0)) - A)))+(0.0006295161257486*max(ninteger(A) , abs(A)))+(3.999819749997*avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))));"	
"Champion09"	"Testing"	0.0003985504498625	0.0	0.9996014495501	"y = 1.166552579009E-06+(-3.386215335725E-05*(max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)) % (abs(fraction(x0)) - A)))+(0.0006295161257486*max(ninteger(A) , abs(A)))+(3.999819749997*avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))));"	
"Champion10"	"Training"	0.000217593563212	0.0	0.9997824064368	"y = 0.0002313800522106+(-4.884053143252E-05*max((max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(A)))) , abs(A)) % (abs(fraction(x0)) - A)) , (ninteger(B) % abs(fraction(x0)))))+(1.999888479624*avg(tan(x0) , A))+(0.0005237478106439*avg(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))));"	
